CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
31.887.401/0001-39;2024-12-01;1;Rio Bravo Investimentos LTDA.;3864607000108;Av. Chedid Jafet, nº 222, Bloco B, 3º andar, cj 32 - Vila Olímpia - São Paulo/SP - Cep nº 04551-065;(11) 3509 6600
32.274.197/0001-43;2024-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36.864.992/0001-42;R. Alves Guimarães, 1216 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
32.274.553/0001-29;2024-12-01;1;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;36864992000142;R. Alves Guimarães, 1216 - Pinheiros, São Paulo - SP, 05410-002;(11) 3133-0350
32.527.626/0001-47;2024-06-01;1;NEWPORT REAL ESTATE GESTÃO IMOBILIÁRIA LTDA;33.723.838/0001-62;AvenidaBrigadeiro Faria Lima, nº 1912, Conj. 13L, CEP 05402-600;(11) 7659-5095
32.892.018/0001-31;2024-06-01;1;Itaú Corretora de Valores S.A. (Escriturador);61194353000164;Avenida Brigadeiro Faria Lima, 3500, 3º Andar, São Paulo -SP;+ 55 (11)2740-2535
32.903.521/0001-45;2024-12-01;1;BTG Pactual Serviços Financeiros S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, 501, 5º andar, parte,  Botafogo, Rio de Janeiro/RJ;(11) 2740-2906
32.903.702/0001-71;2024-12-01;1;BTG Pactual Serviços Financeiros S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, 501, 5º andar, parte, Botafogo, Rio de Janeiro/RJ;(11) 2740-2906
33.046.142/0001-49;2024-06-01;1;SOULMALLS ADMINISTRACAO E COMERCIALIZACAO DE CENTR;34.631.451/0001-49;AV. ATAULFO DE PAIVA, Nº 226, SALA 101, LEBLON, RIO DE JANEIRO/RJ - CEP: 22440-033;(21) 3150-2733
34.691.520/0001-00;2024-06-01;1;COMPANHIA BRASILEIRA DE DISTRIBUICAO;47508411000156;AV BRIGADEIRO LUIZ ANTONIO, 3142;(11) 38860592
35.360.651/0001-77;2024-12-01;1;OPPORTUNITY MÉTRICA LTDA;29839743000131;Avenida Presidente Wilson, nº 231, 28º andar, parte, Centro, Rio de Janeiro /RJ;(11) 3039-1200
35.507.610/0001-60;2024-12-01;1;N/A;0;N/A;N/A
35.652.102/0001-76;2024-06-01;1;PATRIA EDIFICIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;30048651000112;PR BOTAFOGO, 501, AND 5 PARTE - BOTAFOGO, RIO DE JANEIRO - RJ - 22250-040;(21) 45601000
35.652.102/0001-76;2024-06-01;1;DUBLIN EMPREENDIMENTO IMOBILIÁRIO SPE S/A;28299657000110;Avenida Horácio Lafer, 160, 10º andar, conjunto 102, Itaim Bibi, São Paulo/SP;(11) 30468080
35.652.102/0001-76;2024-06-01;1;FUNDO DE INVESTIMENTO IMOBILIARIO THE ONE;12948291000123;AV BRIG FARIA LIMA 3600;(11) 31244100
35.652.102/0001-76;2024-06-01;1;VERA CRUZ II DESENVOLVIMENTO IMOBILIARIO SPE LTDA;11702125000180;R JERONIMO DA VEIGA, 45;(11) 30711811
