CNPJ_Fundo_Classe;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
55.431.577/0001-40;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;285500;0.153469870451003;0;0.153469870451003;1;431100;0.231736816642477;0;0.231736816642477;0;0;0;0;0;0;0;0;0;0;1;1143700;0.614793312906521;0;0.614793312906521
55.435.378/0001-00;2024-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1000;1;;1
55.611.150/0001-23;2024-12-01;1;31;105667;0.333865198928264;0.325334285425408;0.00853091350285628;1;28410;0.0897641676356099;0.0897641676356099;0;1;40982;0.129486628582984;0.129486628582984;0;0;0;0;0;0;2;141437;0.446884004853142;0.446884004853142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55.944.877/0001-22;2024-12-01;1;;;;;;1;6809;0.09;0;0.09;;;;;;;;;;;1;17021;0.225;0;0.225;;;;;;;;;;;1;51820;0.685;0;0.685
55.948.693/0001-30;2024-12-01;1;96;28411.62973369;0.589909374540439;0.587035839004832;0.0028735355356072;5;19751.07280994;0.410090625459561;0.345097439109514;0.0649931863500464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55.985.307/0001-80;2024-12-01;1;4;1165000;0.0932;0;0.0932;0;0;0;0;0;0;0;0;0;0;1;2090000;0.1672;0;0.1672;1;3470000;0.2776;0;0.2776;0;0;0;0;0;1;5775000;0.462;0;0.462;0;0;0;0;0
56.008.757/0001-86;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;78114.877;1;;1
56.012.069/0001-90;2024-12-01;1;1;10673.53812157;0.0211;;0.0211;;;;;;;;;;;;;;;;;;;;;;;;;;1;231674.96445165;0.4579;;0.4579;1;263623.60874902;0.521;;0.521
56.053.824/0001-84;2024-12-01;1;6835;2423669;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56.073.063/0001-22;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2935.05867991;1;;1
56.174.611/0001-00;2024-12-01;1;8;7751.47174786;0.269816908149382;0.269816908149382;;7;13763.31339563;0.479079945988979;0.479079945988979;;;;;;;;;;;;1;7213.85088242;0.251103145861638;0.251103145861638;;;;;;;;;;;;;;;;
56.191.016/0001-83;2024-12-01;1;1;1500;0.015;0;0.015;1;6000;0.06;0;0.06;0;0;0;0;0;0;0;0;0;0;1;22500;0.225;0;0.225;0;0;0;0;0;0;0;0;0;0;1;70000;0.7;0;0.7
56.212.023/0001-14;2024-12-01;1;37;1582;0.03164;0.01608;0.01556;0;0;0;0;0;2;13804;0.27608;0;0.27608;2;19315;0.3863;0;0.3863;0;0;0;0;0;1;15299;0.30598;0;0.30598;0;0;0;0;0;0;0;0;0;0
56.430.935/0001-62;2024-12-01;1;612;2136208;0.2543;0.1332;0.1211;5;3054731;0.3636;;0.3636;;;;;;1;1320380;0.1572;;0.1572;1;1889198;0.2249;;0.2249;;;;;;;;;;;;;;;
56.524.816/0001-79;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;656391.60820046;1;0;1
56.883.420/0001-18;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;1;202.83906486;0.2023;0.2023;;2;800;0.7977;0.7977;;;;;;;;;;;
57.054.672/0001-05;2024-12-01;1;1;5;0.0001;;0.0001;;;;;;;;;;;;;;;;1;9039.01199891;0.2094;;0.2094;;;;;;;;;;;1;34119;0.7905;;0.7905
57.077.139/0001-50;2024-12-01;1;32;868655.1;0.6232;0.6232;;2;239800;0.172;0.172;;2;285349.95;0.2047;0.1019;0.1028;;;;;;;;;;;;;;;;;;;;;;;;;
57.231.494/0001-32;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;976000;1;0;1
57.244.407/0001-81;2024-12-01;1;100;20534013.6795429;0.811081996702588;0.758304429395987;0.052777567306601;3;4782802.33045717;0.188918003297413;0.188918003297413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57.306.908/0001-45;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;110;1;;1
57.378.678/0001-20;2024-12-01;1;195;464112;0.837577962577963;0.837577962577963;0;3;90000;0.162422037422037;0.162422037422037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57.457.407/0001-60;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;499.8;0.4998;0.4998;0;1;500.2;0.5002;0.5002;0
57.495.006/0001-02;2024-12-01;1;4;19247;0.1127;0.0644;0.0483;2;31493;0.1845;0.0879;0.0966;1;20000;0.1171;;0.1171;;;;;;2;100000;0.5857;0.5857;;;;;;;;;;;;;;;;
57.519.008/0001-86;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57.640.413/0001-58;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;378000;1;0;1
57.961.321/0001-70;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;375746.0735;1;0;1
57.977.051/0001-95;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;375746.0735;1;0;1
58.054.129/0001-62;2024-12-01;1;3;9;0.0025;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3663;0.9975;;0.9975
58.118.101/0001-41;2024-12-01;1;;;;;;1;147200;0.0637;0;1;1;2162800;0.9363;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
58.118.102/0001-96;2024-12-01;1;;;;;;1;147200;0.0637;0;1;1;2162800;0.9363;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
58.197.921/0001-76;2024-12-01;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;13026.90559978;1;;1
58.263.012/0001-99;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;100;1;1;0
58.268.583/0001-16;2024-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;697127.99;1;;1
58.372.239/0001-72;2024-12-01;1;1;454.65;0.04;0.04;0;2;1602.63984;0.141;0.141;0;;;;;;2;4091.84639;0.36;0.36;0;;;;;;;;;;;1;5217.10415;0.459;0.459;0;;;;;
58.378.463/0001-71;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58.568.605/0001-63;2024-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;100000;1;0;1
61.453.937/0001-07;2024-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97.521.225/0001-25;2024-12-01;2;1257559;437325297;1;0.9125;0.0875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
